gene,pvalue,padj,logFC
LOC101899507,0.775045202,0.99569125,-1.45E-06
LOC101899662,0.331976626,0.99569125,1.13E-06
LOC101900001,0.965324968,0.999855404,1.80E-07
LOC101900175,0.424666635,0.99569125,4.68E-06
LOC109614529,0.582492029,0.99569125,3.17E-06
LOC101900702,0.077094885,0.99569125,-5.10E-06
LOC101901225,0.355661507,0.99569125,-4.69E-06
LOC101901554,0.793813557,0.99569125,1.19E-06
LOC101901390,0.826730493,0.99569125,2.95E-07
LOC101901727,0.528773134,0.99569125,-5.46E-06
LOC101887711,0.253868766,0.99569125,4.19E-06
LOC101888045,0.800463895,0.99569125,1.67E-07
LOC101888562,0.017350672,0.99569125,-1.20E-06
LOC105262582,0.994726538,0.999973094,4.41E-06
LOC101888860,0.800401304,0.99569125,7.90E-07
LOC101889160,0.072636859,0.99569125,2.90E-06
LOC101889333,0.043338206,0.99569125,-2.81E-06
LOC101889508,0.183992291,0.99569125,-9.84E-07
LOC101890287,0.204837014,0.99569125,4.50E-06
LOC101890459,0.60961801,0.99569125,-3.85E-07
LOC101890628,0.574385603,0.99569125,-3.99E-07
LOC101890802,0.846460996,0.99569125,3.13E-07
LOC101890977,0.452946218,0.99569125,-3.40E-06
LOC101891148,0.22487561,0.99569125,3.33E-06
LOC109611640,0.016997336,0.99569125,-2.19E-06
LOC109611647,0.901518012,0.99850759,8.63E-06
LOC101892198,3.90E-06,0.00792412,-2.933288091
LOC101893054,0.912174009,0.99967947,8.07E-08
LOC101893232,0.307269013,0.99569125,-1.33E-06
LOC101892707,0.214761253,0.99569125,-3.33E-06
LOC109611667,0.562625429,0.99569125,-1.68E-06
LOC101893837,0.108319876,0.99569125,-7.01E-06
LOC101894010,0.593637482,0.99569125,2.47E-06
LOC101894186,0.404588761,0.99569125,-2.02E-06
LOC101894360,0.117457349,0.99569125,3.84E-06
LOC101894519,0.833609049,0.99569125,-2.13E-07
LOC101894680,0.024900012,0.99569125,-7.51E-06
LOC101894839,0.659945711,0.99569125,7.31E-07
LOC101895515,0.338437013,0.99569125,-1.39E-06
LOC101895868,0.298290602,0.99569125,-4.70E-07
LOC101896732,0.935599301,0.999855404,-1.54E-08
LOC101898919,0.915546698,0.999855404,-1.25E-07
LOC101898460,0.485094851,0.99569125,-1.68E-06
LOC101898750,0.7276643,0.99569125,2.24E-06
LOC101899095,0.023690661,0.99569125,8.27E-07
LOC101899268,0.530266823,0.99569125,-2.75E-06
LOC101899663,0.92444573,0.999855404,-1.35E-07
LOC101900002,0.898688013,0.99850759,-6.54E-07
LOC101900176,0.743880433,0.99569125,-1.90E-07
LOC101900585,0.388342498,0.99569125,-3.58E-06
LOC101901226,0.453336795,0.99569125,-1.55E-06
LOC101901057,0.119523803,0.99569125,-4.71E-06
LOC101901391,0.445232738,0.99569125,-1.26E-06
LOC105261477,0.135813185,0.99569125,-3.33E-06
LOC101901555,0.589671727,0.99569125,-2.18E-05
LOC101901728,0.225916333,0.99569125,-7.95E-07
LOC101887263,0.081451229,0.99569125,3.67E-06
LOC101887432,0.024874047,0.99569125,-6.63E-06
LOC101887609,0.409087905,0.99569125,1.03E-06
LOC101888563,0.27005243,0.99569125,-2.77E-06
LOC101887932,0.574671183,0.99569125,2.38E-06
LOC101888104,0.41461516,0.99569125,-1.71E-06
LOC101888742,0.797698677,0.99569125,-5.94E-07
LOC101888920,0.461495429,0.99569125,-8.04E-07
LOC105261485,0.557778042,0.99569125,-1.98E-06
LOC101888396,0.927148792,0.999855404,-2.81E-05
LOC101889101,0.130441127,0.99569125,-1.81E-06
LOC101889278,0.921117292,0.999855404,4.41E-07
LOC101889452,0.700608707,0.99569125,-1.95E-06
LOC101889732,0.224906747,0.99569125,3.62E-06
LOC101889901,0.38289927,0.99569125,-1.62E-06
LOC101890228,0.956003027,0.999855404,1.32E-07
LOC101890568,0.868966002,0.997275656,9.82E-07
LOC101891037,0.662407201,0.99569125,4.26E-07
LOC101890863,0.833145941,0.99569125,4.82E-07
LOC109611769,0.838104047,0.99569125,5.80E-07
LOC101891208,0.498409825,0.99569125,2.30E-06
LOC101891385,0.129961839,0.99569125,-9.82E-07
LOC101891681,0.290218005,0.99569125,2.64E-07
LOC101891958,0.594536164,0.99569125,-1.06E-06
LOC101892252,0.556481242,0.99569125,2.28E-06
LOC101892534,0.998190956,0.999973094,-7.52E-08
LOC101892708,0.498528524,0.99569125,-1.93E-06
LOC101892884,0.836812275,0.99569125,-1.51E-06
LOC101893055,0.934731489,0.999855404,1.25E-06
LOC101893332,0.999379369,0.999973094,2.53E-09
LOC101893672,0.685457988,0.99569125,-8.03E-07
LOC101893838,0.541101259,0.99569125,6.39E-07
LOC101894840,0.137113568,0.99569125,3.10E-06
LOC101894011,0.239547958,0.99569125,2.19E-06
LOC101895007,0.260828031,0.99569125,2.42E-06
LOC101894187,0.275024063,0.99569125,1.11E-05
LOC101894361,0.427350278,0.99569125,1.08E-06
LOC101895171,0.005711268,0.836813999,4.18E-06
LOC101894520,0.455777131,0.99569125,-1.02E-05
LOC101894681,0.233246393,0.99569125,-6.38E-05
LOC101895344,0.240310052,0.99569125,2.40E-06
LOC101895694,0.233699683,0.99569125,4.26E-06
LOC101895869,0.320674995,0.99569125,3.99E-06
LOC101896040,0.754987636,0.99569125,8.15E-06
LOC109611819,0.782091802,0.99569125,1.84E-07
LOC101896317,0.106299801,0.99569125,-4.50E-06
LOC101896494,0.532803847,0.99569125,-2.55E-06
LOC101896674,0.490001015,0.99569125,3.65E-06
LOC109611826,0.400601568,0.99569125,-3.86E-06
LOC105261512,0.722992787,0.99569125,2.55E-06
LOC101897026,0.859467963,0.995703468,-1.50E-06
