,gene_names,Control_Gut_1,Control_Gut_2,Control_Gut_3,Control_Gut_4,Pseudomonas_Gut_1,Pseudomonas_Gut_2,Pseudomonas_Gut_3,Pseudomonas_Gut_4,Control_Carcass_1,Control_Carcass_2,Control_Carcass_3,Control_Carcass_4,Pseudomonas_Carcass_1,Pseudomonas_Carcass_2,Pseudomonas_Carcass_3,Pseudomonas_Carcass_4
3214,LOC101891215,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0
3215,LOC101891514,0,2,2,2,0,2,1,1,8,6,8,9,7,13,12,7
3216,LOC101893572,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
3217,LOC101893741,36,29,45,39,33,34,31,28,29,11,12,10,23,7,11,14
3218,LOC101893909,9,17,18,17,10,13,17,11,16,13,14,14,19,11,13,16
3219,LOC101894081,24,18,20,13,24,19,18,23,0,0,1,1,0,1,0,1
3220,LOC101894251,1,3,4,3,1,2,3,1,4,6,7,5,6,3,4,3
3221,LOC101896158,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,2
3222,LOC101896330,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
3223,LOC101894741,6,9,11,10,6,8,10,7,13,12,13,13,15,10,13,14
3224,LOC101895018,4,8,9,7,6,5,7,6,10,9,8,8,11,6,9,10
3225,LOC101896507,1,2,2,2,1,1,2,2,3,2,1,2,2,1,2,3
3226,LOC101895594,10,11,14,12,8,11,12,11,14,14,17,15,15,11,14,15
3227,LOC101895415,0,1,1,1,0,1,1,1,1,0,0,0,2,1,0,1
3228,LOC101895999,9,11,12,12,8,10,10,10,10,14,12,11,15,10,12,14
3229,LOC101896689,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1
3230,LOC101897500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3231,LOC101896868,0,1,1,1,0,1,1,0,3,3,4,2,3,3,4,3
3232,LOC101891625,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
3233,LOC101897673,14,28,41,35,5,23,29,21,41,18,18,28,25,15,26,30
