"","gene","pvalue","padj","logFC"
"87","LOC101891088",0.0187809823557053,0.200406823917587,0.589384236550302
"88","LOC101896852",0.98738531620786,0.997301340969499,0.0039714896444856
"89","LOC101891384",0.285972240634026,0.681442566870297,-0.342506614966993
"90","LOC101897200",0.451319719369377,NA,-1.17687559387271
"91","LOC101897381",0.418599948303081,NA,-0.334262609627238
"92","LOC101892024",0.228112687133256,0.635909143261632,-0.291600523762506
"93","LOC101892197",0.407044538149511,0.760314927120125,-0.195362902899526
"94","LOC101892364",0.337879491469443,0.721635439550945,-0.313773395698051
"95","LOC101897544",0.0317239683472021,NA,-2.41246546504143
"96","LOC101892532",0.0145972681048975,0.179642891586292,0.611803363753408
"97","LOC105262178",0.932799909968378,NA,0.0510379726818062
"98","LOC101892706",0.719678116088316,NA,0.15329561135225
"99","LOC101892992",0.748983267556285,0.917087077426732,-0.065671764634089
"100","LOC101893290",0.0837173489612425,0.418425482843779,0.825202136490723
"101","LOC101899506",0.321209145382723,0.711963455850635,0.274235709329527
"102","LOC101897717",0.0639278420753296,0.373659731569228,0.414673223926365
"103","LOC101897886",0.984499224980909,0.996100059921169,-0.00402757403274009
"104","LOC101899661",0.954780447276813,0.988093307353295,-0.0138563340772215
"105","LOC101899832",0.635013456502724,NA,0.81327385828882
"106","LOC101898053",0.719608149568177,0.904212402109301,-0.0535649934500895
"107","LOC101898232",0.359824254551116,0.736407594537854,0.173385070606485
"108","LOC101898405",0.00618694695645721,0.121653451391013,1.19760639355199
"109","LOC101898579",0.000895422197962957,0.0468114576410853,1.02774377549586
"110","LOC101898918",0.0527870578256789,0.339872520952678,-0.421772431696527
"111","LOC101899331",0.0134516456591088,0.172836856853454,0.822647252513391
"112","LOC101900294",0.395721256271614,0.753385768576288,-0.177406498560757
"113","LOC101900458",0.877944200056187,0.964150684706169,0.0390927186927722
"114","LOC101900122",0.741715381515809,0.914343419028364,0.058884629157881
"115","LOC101900635",0.789650649000107,NA,-0.499118202266107
"116","LOC101900815",0.604307563225753,NA,-0.244868262405757
"117","LOC101901498",0.76832004067459,NA,-0.585349710048586
"118","LOC101901661",0.10661345864856,0.470907502864664,-0.263368012655577
"119","LOC101887197",0.906144492564498,0.972735162549301,-0.0357234584684769
"120","LOC101887541",0.468804797255594,NA,-0.33346185218926
"121","LOC101888919",0.716905070835921,NA,-0.434509664470912
"122","LOC101889100",0.383941177749927,NA,-1.06496656210193
"123","LOC101889277",0.937832640472043,NA,-0.128881567751632
