,gene_names,Ecoli_Gut_1,Ecoli_Gut_2,Ecoli_Gut_3,Control_Gut_1,Control_Gut_2,Control_Gut_3,Ecoli_Carcass_1,Ecoli_Carcass_2,Ecoli_Carcass_3,Control_Carcass_1,Control_Carcass_2,Control_Carcass_3
552,LOC105261660,6,3,8,15,8,2,143,182,148,198,208,161
553,LOC101890569,0,0,0,0,0,0,0,0,0,0,0,0
554,LOC101890740,15,14,18,13,18,17,11,8,9,11,11,10
555,LOC101890914,0,0,0,0,0,0,0,0,0,0,0,0
556,LOC101891090,0,0,0,0,0,0,0,0,0,0,0,0
557,LOC101891261,0,0,0,0,0,0,0,0,0,0,0,0
558,LOC101891435,0,0,0,0,0,0,2,1,1,1,1,1
559,LOC101891616,14,12,15,15,16,14,22,20,20,29,23,23
560,LOC101891785,0,0,0,0,0,0,0,0,0,0,0,0
561,LOC101891959,0,0,0,0,0,1,1,1,1,1,2,1
562,LOC101892132,0,0,0,0,1,0,3,5,3,4,3,5
563,LOC101892302,5,5,4,5,4,4,14,12,10,13,12,12
564,LOC101892471,26,15,25,16,21,22,1,0,0,1,1,0
565,LOC101892646,0,0,0,0,0,0,0,0,0,0,0,0
566,LOC101892823,0,0,0,0,0,0,0,0,0,0,0,0
567,LOC101892994,0,0,0,0,0,0,0,0,0,0,0,0
568,LOC101893172,0,0,0,0,0,0,1,2,2,2,2,2
569,LOC101893333,3,4,3,5,4,3,4,5,3,5,4,4
570,LOC101893839,15,11,17,11,14,14,14,12,12,16,13,16
571,LOC101894012,64,47,57,47,57,64,40,35,36,35,38,41
572,LOC105261673,368,306,296,341,344,301,372,317,331,440,404,398
573,LOC101894188,0,0,0,0,0,2,0,0,0,0,0,0
574,LOC101894362,20,19,19,18,17,19,21,25,20,34,21,24
575,LOC101894521,17,13,17,13,20,17,14,13,14,17,16,16
576,LOC101894841,16,25,19,19,16,21,13,14,12,14,12,18
577,LOC101894682,8,4,8,5,8,7,9,10,8,10,9,10
578,LOC105261675,0,0,2,1,0,1,1,8,6,9,1,5
579,LOC109612215,1,1,1,1,1,1,1,1,1,2,2,1
580,LOC101895172,18,17,18,16,17,18,19,20,18,21,18,22
581,LOC101895517,22,14,21,18,22,23,16,14,14,20,17,18
582,LOC101895345,431,477,421,411,472,448,2224,2175,1689,2082,2048,2209
583,LOC105261677,0,0,0,0,0,0,1,0,0,0,1,0
584,LOC109612223,0,0,0,0,0,0,0,0,0,0,0,0
585,LOC101895870,106,115,91,96,121,91,88,81,72,79,84,90
586,LOC101896042,9,8,7,5,9,7,11,9,9,12,10,12
587,LOC101896203,4,2,3,6,4,3,7,7,6,9,8,9
588,LOC101896376,0,0,0,0,0,0,0,0,0,0,0,0
589,LOC101896554,3,2,3,2,3,2,3,3,3,3,3,3
590,LOC101896857,1284,1528,1244,1329,1329,1144,300,268,267,305,285,295
591,LOC101897029,0,0,0,0,1,0,0,0,0,0,0,0
592,LOC101897205,0,0,0,0,0,0,7,4,5,7,6,7
593,LOC101897385,0,0,0,0,0,0,2,2,2,2,2,2
594,LOC105261698,0,0,0,0,0,0,0,0,0,0,0,0
595,LOC101897548,0,0,0,0,0,0,0,0,0,0,0,0
596,LOC105261700,0,0,0,0,0,0,0,0,0,0,0,0
597,LOC101898056,0,0,0,0,0,0,0,0,0,0,0,0
598,LOC101898808,22,23,21,27,21,21,26,24,20,33,27,28
599,LOC101898235,7,5,7,9,8,7,10,9,8,10,11,9
600,LOC101898983,4,3,3,4,4,3,6,5,6,6,6,6
601,LOC101899157,6,5,6,6,6,6,9,8,8,11,10,10
602,LOC101899333,0,0,0,0,0,0,0,1,1,1,1,1
603,LOC101899664,0,0,0,0,0,0,1,1,1,1,0,1
604,LOC101899834,0,0,0,0,0,0,0,0,0,0,0,0
605,LOC101900003,0,0,0,0,0,0,0,0,0,0,0,0
606,LOC101899508,0,0,0,0,0,0,1,2,1,1,3,1
607,LOC109612253,0,0,0,0,0,0,0,0,0,0,0,0
608,LOC101900177,59,33,66,61,35,59,9,14,0,12,16,6
609,LOC101900354,0,0,0,0,0,0,1,0,0,0,0,0
610,LOC101901166,0,0,0,0,0,0,0,0,0,0,0,0
611,LOC101901337,2,3,2,1,1,1,1,0,0,1,1,0
612,LOC101900636,116,117,118,112,127,121,599,580,452,540,579,600
613,LOC101900993,1,2,3,2,4,2,133,121,146,92,112,107
614,LOC101900816,2,2,4,4,5,3,186,114,226,149,179,198
615,LOC101901500,101,79,87,54,100,83,21,18,17,19,16,21
616,LOC109612263,1,1,0,0,0,0,1,1,0,0,0,0
617,LOC101901663,0,0,0,0,0,0,0,0,0,1,0,0
618,LOC109612266,1,0,1,1,0,1,2,1,2,1,3,1
619,LOC101887315,56,55,56,51,55,51,29,29,26,29,32,30
620,LOC101887481,16,10,14,13,12,13,10,10,8,10,10,10
621,LOC105261710,0,0,0,0,0,0,0,0,0,0,0,0
622,LOC101888565,0,0,0,0,0,0,2,3,2,2,2,3
623,LOC101887657,4,3,4,3,4,3,3,3,2,3,3,4
624,LOC101887828,7,7,7,7,8,8,13,13,11,20,13,15
625,LOC101888230,3,1,3,2,3,3,3,3,3,4,4,4
626,LOC101888398,13,9,10,10,13,12,20,17,17,16,17,19
627,LOC109612283,2,2,2,1,1,0,1,1,1,1,1,1
628,LOC105261714,0,0,0,0,0,0,0,0,0,0,0,0
629,LOC101888743,58,53,57,55,61,61,104,94,86,110,101,113
630,LOC101889216,0,0,0,0,0,0,0,1,0,1,0,0
631,LOC109612292,11,6,0,9,8,6,7,6,6,14,12,2
632,LOC101889391,72,69,78,59,71,68,88,79,61,92,81,87
633,LOC101889842,1,1,1,2,2,2,3,1,1,3,2,1
634,LOC101890012,3,2,2,3,3,4,3,5,5,5,4,3
635,LOC109612301,3,2,2,3,2,2,3,3,3,4,2,2
636,LOC101890570,28,22,24,27,29,30,20,19,17,23,22,22
637,LOC101892026,2,2,2,2,3,3,9,7,8,10,13,11
638,LOC109612357,0,0,0,0,0,0,0,0,0,0,1,1
639,LOC101892535,4,4,4,5,5,5,5,7,5,7,6,7
640,LOC101892709,0,0,0,0,0,0,0,0,0,0,0,0
641,LOC101892885,0,0,0,0,0,0,14,2,6,12,11,9
642,LOC101893056,6,4,5,4,6,5,5,5,4,5,5,5
643,LOC109612370,6,3,4,3,4,3,6,3,3,5,4,3
644,LOC101893233,2,1,2,2,1,1,3,3,3,4,2,2
645,LOC101893396,0,0,0,0,0,0,0,0,0,0,0,0
646,LOC101893562,2,0,1,2,1,1,1,1,1,2,1,2
647,LOC101893731,3,1,2,2,3,3,2,1,2,2,2,2
648,LOC101894069,1,1,1,0,1,1,2,2,2,2,1,2
649,LOC101894241,28,27,24,29,31,27,11,11,11,11,10,15
650,LOC101894408,19,13,13,15,18,19,13,11,11,13,13,14
651,LOC101895290,0,0,0,0,0,0,8,7,8,10,11,10
652,LOC101895459,0,0,0,0,0,0,0,0,0,0,0,0
653,LOC101894959,1,1,1,2,3,2,55,43,49,46,56,63
654,LOC101895118,3,2,3,3,3,3,4,4,4,6,4,5
655,LOC101895639,2,0,1,2,1,1,1,1,1,2,1,2
656,LOC105261731,0,0,0,0,0,0,0,0,0,0,0,0
657,LOC101895987,0,0,0,0,0,0,6,6,8,9,11,8
658,LOC109612383,0,0,0,0,0,0,0,0,0,0,0,0
659,LOC109612384,0,0,0,0,0,0,0,0,0,0,0,0
660,LOC101896796,2,1,1,1,1,2,0,0,0,0,0,0
661,LOC101896264,0,0,0,1,0,0,0,0,5,0,0,0
662,LOC101896968,3,1,3,4,4,3,4,4,3,5,4,5
663,LOC101897258,2,2,2,1,1,2,2,3,1,4,2,3
664,LOC105261736,8,5,7,6,7,8,7,5,5,7,6,8
665,LOC101897664,1182,1385,1231,1258,1246,1215,1159,1305,1178,1374,1203,1353
666,LOC101897838,18,17,17,14,17,17,24,28,20,38,24,28
667,LOC105261740,8,4,8,8,8,8,10,7,7,9,11,11
668,LOC101898348,1,1,0,1,1,1,5,4,4,5,5,5
669,LOC109612406,0,0,0,0,0,0,0,0,0,0,0,0
670,LOC101898634,2,1,2,1,2,2,18,14,25,16,15,24
671,LOC101898921,0,0,0,0,1,1,1,0,0,0,0,0
672,LOC101899097,1,0,1,1,1,1,3,2,2,3,2,2
673,LOC109612410,0,0,0,0,0,0,1,0,7,2,2,2
674,LOC101899269,6,6,4,6,6,5,24,21,23,27,31,28
675,LOC109612411,0,0,0,1,0,1,1,0,0,0,1,1
676,LOC101899448,7,6,7,7,8,6,9,9,7,9,8,9
677,LOC109612413,35,21,30,21,25,33,17,12,12,12,9,13
678,LOC109612422,0,0,0,0,0,0,0,0,0,0,0,0
679,LOC101900295,0,0,0,0,0,0,0,0,0,0,0,0
680,LOC109612431,0,0,0,0,0,0,0,0,0,0,0,0
681,LOC101900459,0,0,0,0,0,0,0,0,0,0,0,0
682,LOC101900637,0,0,1,1,0,0,2,1,1,0,0,1
683,LOC101900817,2,1,3,4,2,2,91,87,84,97,109,104
684,LOC101900994,0,0,0,0,0,0,0,1,0,0,0,0
685,LOC101901167,9,4,8,5,7,6,20,14,17,25,23,20
686,LOC101901501,163,119,147,87,121,117,19,15,18,18,22,19
687,LOC101901338,11,9,11,11,11,11,12,12,10,13,12,14
688,LOC101901664,17,15,16,19,18,17,5,5,3,3,5,4
689,LOC105261751,5,2,3,8,4,5,5,1,4,6,5,6
690,LOC101887199,0,0,0,0,0,0,0,0,0,0,0,0
691,LOC109612447,0,0,0,0,0,0,0,0,0,0,0,0
692,LOC101887372,0,0,0,0,0,0,0,0,0,0,0,0
693,LOC101887876,0,0,0,0,0,0,12,9,13,19,15,16
694,LOC101888282,5,4,5,5,7,6,4,3,3,4,4,3
695,LOC109612464,0,0,0,0,0,0,1,0,0,0,0,0
696,LOC105261754,2,1,1,1,12,5,9,3,3,9,13,9
697,LOC101888864,10,8,9,10,12,10,30,27,27,35,32,32
698,LOC101889510,7,5,5,6,8,5,11,12,10,13,11,15
699,LOC101889786,19,12,18,14,18,21,23,19,19,21,22,26
700,LOC101889958,1,2,1,1,2,2,1,1,2,1,1,2
701,LOC101890123,2,2,2,2,2,2,3,3,3,5,4,4
702,LOC101890288,248,258,203,211,269,233,1565,1472,1200,1394,1503,1458
703,LOC101890741,107,91,86,89,104,97,458,402,356,423,412,426
704,LOC101890915,0,1,0,0,1,1,1,0,0,1,0,0
705,LOC101891091,0,0,0,0,0,0,0,0,0,0,0,0
706,LOC101891262,1,0,0,0,0,0,0,0,0,0,0,0
707,LOC101891436,3,2,2,2,3,3,2,5,2,3,3,2
708,LOC105261755,1,1,1,1,1,1,0,1,0,0,0,0
709,LOC101891617,1632,2023,1728,1850,1735,1761,1649,1768,1594,1992,1589,1773
710,LOC101891786,8,6,9,7,8,9,5,5,5,3,4,8
711,LOC101892080,0,0,0,1,0,0,1,1,0,1,1,1
712,LOC101892254,13,10,12,12,14,14,6,6,5,6,6,7
713,LOC101892767,3,2,3,4,3,3,3,3,3,4,4,3
714,LOC101892426,2,1,2,1,2,1,5,5,5,5,5,7
715,LOC101892940,3,2,2,2,2,2,4,2,2,4,3,3
716,LOC109612487,0,0,1,0,1,1,0,2,1,0,0,1
717,LOC101892595,0,0,1,0,0,0,57,45,48,25,83,63
718,LOC101893460,24,24,22,20,23,21,15,12,14,18,16,18
719,LOC101893621,7,5,6,6,6,6,9,9,8,9,9,9
720,LOC101894070,4,4,4,4,4,4,5,5,5,7,6,6
721,LOC101893897,6,3,5,6,6,5,7,8,7,8,8,6
722,LOC101894409,2,2,2,2,2,2,4,3,3,4,4,3
723,LOC101894572,3,1,2,2,2,1,2,2,2,3,3,3
724,LOC101894731,0,0,0,0,0,0,0,0,0,0,0,0
725,LOC101894242,18,13,16,14,16,16,13,11,14,14,14,13
726,LOC105261764,1,0,1,1,1,1,1,1,1,1,1,1
727,LOC101894895,0,0,0,0,1,1,1,0,0,0,0,0
728,LOC101895230,0,0,0,0,0,0,0,0,0,0,0,0
729,LOC101895404,0,0,0,0,0,0,0,1,0,0,0,0
730,LOC101895584,0,0,0,0,0,0,0,0,0,0,0,0
